material_id,bandgap
5452401.vasp,3.535
6448259.vasp,1.698
6356672.vasp,1.347
6409649.vasp,2.065
8239872.vasp,0.942
8700653.vasp,1.243
5452421.vasp,3.885
8229051.vasp,3.845
8258475.vasp,3.434
8436538.vasp,3.604
8305499.vasp,3.733
8229038.vasp,4.336
8879061.vasp,4.968
8217489.vasp,4.6
8714106.vasp,3.146
6235441.vasp,3.362
9660006.vasp,1.254
6190592.vasp,2.142
5451066.vasp,2.157
5460179.vasp,1.212
5451911.vasp,1.424
6908890.vasp,1.135
6807179.vasp,1.131
5620115.vasp,1.041
5459568.vasp,1.569
8247029.vasp,3.451
5450691.vasp,3.478
6798530.vasp,0.611
8878528.vasp,1.857
6429289.vasp,0.519
6442482.vasp,0.823
5451311.vasp,1.153
8257920.vasp,3.295
8277164.vasp,4.909
5460129.vasp,4.778
8220144.vasp,7.629
7788708.vasp,3.177
8257924.vasp,1.959
6348885.vasp,2.995
6404471.vasp,3.642
5451621.vasp,4.694
8305727.vasp,2.083
7837708.vasp,4.123
7836418.vasp,5.054
5451696.vasp,7.754
8709379.vasp,4.328
8216131.vasp,5.213
7762424.vasp,6.782
8232455.vasp,6.654
8709418.vasp,3.412
6430030.vasp,0.943
8288321.vasp,1.117
8216362.vasp,1.335
8205648.vasp,0.823
2011932.vasp,1.224
8241471.vasp,0.665
8714941.vasp,1.46
8277170.vasp,1.731
7732746.vasp,1.727
6127838.vasp,2.443
8276070.vasp,2.306
8209304.vasp,2.299
181481.vasp,2.441
8257927.vasp,1.053
5460089.vasp,5.053
7778524.vasp,4.455
8216117.vasp,5.375
7735612.vasp,7.195
8216636.vasp,7.211
8281356.vasp,3.643
8709287.vasp,4.384
8216120.vasp,5.266
7742216.vasp,7.226
7834670.vasp,7.267
8220138.vasp,7.356
8281359.vasp,3.526
8216642.vasp,7.033
7733934.vasp,7.027
6316622.vasp,0.533
8697805.vasp,1.059
6442677.vasp,0.67
8276073.vasp,1.645
8209351.vasp,1.654
180468.vasp,1.769
6429387.vasp,2.117
8277173.vasp,3.455
7827944.vasp,3.431
8289266.vasp,6.871
8209407.vasp,6.782
9662836.vasp,6.795
8258478.vasp,4.44
8216094.vasp,5.359
7764518.vasp,7.098
8216648.vasp,7.125
8258481.vasp,3.374
6348766.vasp,3.426
5460079.vasp,3.695
6455673.vasp,2.707
5460124.vasp,3.291
8709277.vasp,4.381
8216100.vasp,5.381
8216651.vasp,7.206
7771964.vasp,7.181
8709278.vasp,3.559
6348743.vasp,2.506
8293908.vasp,3.698
7978676.vasp,6.27
8289269.vasp,6.229
7828764.vasp,6.24
6455801.vasp,2.273
8280755.vasp,1.438
6373848.vasp,1.615
8277176.vasp,1.88
6442737.vasp,2.025
8289272.vasp,2.477
8209417.vasp,2.459
5451651.vasp,2.624
8280758.vasp,1.466
8258537.vasp,4.391
8216134.vasp,5.208
7785356.vasp,6.833
8228525.vasp,6.634
8473647.vasp,3.399
9457727.vasp,0.821
8215848.vasp,5.404
8216656.vasp,7.365
8276076.vasp,7.38
8220919.vasp,7.546
8257930.vasp,3.799
5460094.vasp,5.519
6348741.vasp,1.453
5460109.vasp,1.329
181536.vasp,1.479
8878527.vasp,1.712
6404498.vasp,1.7
7977714.vasp,2.234
5451571.vasp,2.167
8709385.vasp,1.532
4046071.vasp,3.217
8242360.vasp,4.479
8217006.vasp,5.29
8216678.vasp,6.84
8713502.vasp,3.358
6404522.vasp,0.54
7786452.vasp,0.857
5451656.vasp,2.418
8242364.vasp,4.473
8217009.vasp,5.26
7731908.vasp,6.893
8216682.vasp,6.771
4794703.vasp,6.574
8713505.vasp,3.388
9175284.vasp,5.325
9176135.vasp,6.716
6429431.vasp,1.479
7755204.vasp,1.739
8220937.vasp,2.194
180043.vasp,2.261
6349929.vasp,1.206
8697763.vasp,1.334
6404607.vasp,1.48
5451581.vasp,2.051
6348719.vasp,3.099
5440926.vasp,3.549
5451676.vasp,4.233
6316272.vasp,3.493
8697774.vasp,4.164
181846.vasp,4.348
8434585.vasp,7.361
7752738.vasp,7.423
8209365.vasp,7.372
9662750.vasp,7.465
6305366.vasp,2.654
8713500.vasp,4.48
180934.vasp,5.339
7745764.vasp,7.102
8216686.vasp,7.144
8204372.vasp,3.415
5439841.vasp,3.203
6832835.vasp,7.313
8204220.vasp,4.447
180736.vasp,5.244
7768840.vasp,7.057
8216659.vasp,7.191
8204223.vasp,3.506
6356953.vasp,1.007
5451711.vasp,2.883
1230418.vasp,5.641
8258484.vasp,1.443
5440921.vasp,2.428
8228530.vasp,4.247
8258487.vasp,0.651
7780048.vasp,4.464
8216103.vasp,5.389
7775842.vasp,7.366
8216668.vasp,7.299
8258491.vasp,3.652
9191249.vasp,1.595
1230435.vasp,2.026
6429450.vasp,1.462
5451691.vasp,1.931
6316159.vasp,4.436
7838460.vasp,5.317
8434493.vasp,7.412
181687.vasp,7.297
7840902.vasp,7.347
6360504.vasp,2.835
8258501.vasp,3.373
8220944.vasp,7.883
6316274.vasp,3.425
6313674.vasp,4.241
8305391.vasp,3.713
8258545.vasp,2.978
8306522.vasp,3.24
8708177.vasp,3.551
8281410.vasp,3.929
8304969.vasp,2.526
8303147.vasp,4.1
5460309.vasp,4.095
5621271.vasp,1.156
8302614.vasp,2.507
6349916.vasp,2.5
6403280.vasp,3.08
8715213.vasp,4.526
8304973.vasp,1.531
8306774.vasp,3.052
7672840.vasp,3.824
7828092.vasp,5.151
8306779.vasp,2.094
6403255.vasp,4.264
6803298.vasp,6.22
8709461.vasp,4.205
8709403.vasp,4.986
8715214.vasp,7.563
8305950.vasp,3.043
6429188.vasp,0.595
6314426.vasp,0.787
5441206.vasp,0.827
6429583.vasp,1.168
8227399.vasp,1.57
8700468.vasp,2.094
8229252.vasp,2.2
8304977.vasp,0.58
7775674.vasp,4.432
4794948.vasp,5.428
8280701.vasp,8.082
8248739.vasp,3.263
8707892.vasp,3.264
8280704.vasp,4.465
9128594.vasp,5.266
7841764.vasp,5.398
7835400.vasp,8.131
9128593.vasp,3.267
8280707.vasp,3.453
8257949.vasp,4.821
8280710.vasp,8.245
6316384.vasp,0.59
6403338.vasp,0.79
6449735.vasp,1.654
6349995.vasp,1.362
8227417.vasp,2.739
8700525.vasp,6.477
7747390.vasp,4.201
8215863.vasp,5.199
8280792.vasp,7.969
9128617.vasp,3.058
8257955.vasp,3.245
7987792.vasp,0.778
5460274.vasp,2.712
6296458.vasp,4.117
6207224.vasp,4.317
6206620.vasp,4.08
6280882.vasp,4.137
6261298.vasp,4.273
5452161.vasp,4.161
8257895.vasp,4.442
9128708.vasp,5.258
7766340.vasp,5.397
8280713.vasp,8.103
9128731.vasp,3.263
8257898.vasp,3.262
8302619.vasp,1.932
4046074.vasp,1.735
7844594.vasp,3.087
6852225.vasp,5.709
6788273.vasp,5.848
6803409.vasp,5.851
8700540.vasp,5.752
7841656.vasp,5.847
8280716.vasp,0.575
8305394.vasp,0.985
6403210.vasp,1.597
8700542.vasp,2.288
8714543.vasp,2.287
8305403.vasp,0.979
8707896.vasp,3.935
8227459.vasp,5.258
8314208.vasp,7.2
8708287.vasp,3.185
6319363.vasp,4.509
1229283.vasp,5.437
8215831.vasp,8.031
8204160.vasp,3.446
5460324.vasp,5.791
8229805.vasp,1.607
8304980.vasp,1.363
6442454.vasp,1.758
8700548.vasp,2.192
5452116.vasp,2.188
8304983.vasp,1.16
4046085.vasp,2.77
8241250.vasp,1.165
8280795.vasp,4.214
4793792.vasp,4.989
8436568.vasp,7.548
8280801.vasp,3.047
8357068.vasp,1.945
8698085.vasp,4.219
8280804.vasp,4.013
8215869.vasp,5.002
8280807.vasp,7.576
9128732.vasp,3.239
8280810.vasp,3.238
9173984.vasp,2.924
8302630.vasp,0.986
6374101.vasp,0.993
6313886.vasp,1.197
5452186.vasp,2.072
8304986.vasp,0.585
6403293.vasp,0.994
6297556.vasp,3.261
6283356.vasp,3.053
5460329.vasp,3.258
6862444.vasp,4.024
6788825.vasp,4.186
6807005.vasp,4.204
6803433.vasp,4.19
5452151.vasp,4.02
6791756.vasp,3.307
5620315.vasp,3.13
9128599.vasp,3.982
7832622.vasp,3.957
8700674.vasp,6.667
8229383.vasp,8.614
6299491.vasp,2.462
6799688.vasp,2.251
5620869.vasp,2.257
7742490.vasp,4.22
4794938.vasp,5.198
8280719.vasp,7.818
8280722.vasp,3.248
7781188.vasp,4.431
8215866.vasp,5.248
8280725.vasp,8.149
9128499.vasp,3.263
8257958.vasp,3.261
5460314.vasp,0.981
8304989.vasp,1.938
6364062.vasp,2.725
8700675.vasp,0.831
5452106.vasp,4.992
6305406.vasp,1.151
6374274.vasp,0.771
6442373.vasp,1.742
4046090.vasp,3.872
7784944.vasp,4.627
9128680.vasp,5.459
4794943.vasp,5.426
8280728.vasp,8.171
9128657.vasp,3.269
5620319.vasp,1.168
6356374.vasp,1.367
8700680.vasp,3.752
6409876.vasp,5.759
8707891.vasp,4.233
1229279.vasp,5.037
8215872.vasp,7.901
8204163.vasp,3.243
6316294.vasp,3.249
8280731.vasp,2.984
8215834.vasp,3.626
8280734.vasp,3.508
8259001.vasp,3.753
8227402.vasp,4.453
8217619.vasp,4.587
5460469.vasp,1.665
7978450.vasp,0.849
8278506.vasp,0.844
6358091.vasp,1.293
8278512.vasp,3.194
5459629.vasp,3.195
5450846.vasp,4.358
8700038.vasp,0.754
5451516.vasp,1.552
6443355.vasp,1.671
5452366.vasp,2.248
8278521.vasp,1.508
6405379.vasp,1.489
5450826.vasp,1.993
8700108.vasp,0.634
6443277.vasp,0.628
5451251.vasp,5.785
8227480.vasp,2.592
6356733.vasp,4.233
7837640.vasp,7.736
4045955.vasp,2.511
5621067.vasp,1.226
7987760.vasp,2.568
5620243.vasp,2.578
5459929.vasp,3.14
8314796.vasp,4.795
5451191.vasp,4.767
8271787.vasp,1.674
9132668.vasp,3.233
7828978.vasp,3.109
6298560.vasp,3.842
180040.vasp,3.855
6297759.vasp,5.146
6202614.vasp,5.121
6297011.vasp,5.231
6800078.vasp,5.097
9665653.vasp,5.177
7829026.vasp,2.201
4045982.vasp,5.727
5451256.vasp,8.221
5459904.vasp,4.375
6296802.vasp,6.323
5451261.vasp,6.347
8204226.vasp,4.316
180633.vasp,5.112
8220196.vasp,7.494
8709433.vasp,3.233
6348815.vasp,0.574
7833510.vasp,1.31
8227486.vasp,1.251
7747166.vasp,1.6
8217740.vasp,2.174
7837280.vasp,2.182
7738116.vasp,6.457
8302644.vasp,4.39
7783278.vasp,4.51
8215875.vasp,5.335
7775586.vasp,7.638
9128733.vasp,3.31
8257983.vasp,3.337
7734452.vasp,4.524
1891998.vasp,5.441
9661833.vasp,7.811
8725625.vasp,3.54
7740548.vasp,7.675
5620231.vasp,0.681
6356683.vasp,0.799
181546.vasp,1.697
5620227.vasp,1.58
7827922.vasp,2.833
8220104.vasp,6.558
4046001.vasp,1.257
7745292.vasp,4.297
8215881.vasp,5.217
8277104.vasp,7.857
7753904.vasp,7.55
8257989.vasp,3.318
5459894.vasp,2.934
6297925.vasp,4.288
6296974.vasp,4.264
6207351.vasp,4.275
6296731.vasp,4.14
6203708.vasp,4.2
6280919.vasp,4.128
5451216.vasp,4.285
7759784.vasp,4.433
8879046.vasp,5.491
183240.vasp,5.459
7785224.vasp,7.708
8204423.vasp,3.405
4046100.vasp,2.015
4046102.vasp,3.149
8291136.vasp,5.859
7843450.vasp,5.979
4046051.vasp,1.571
8283358.vasp,0.775
8227471.vasp,1.154
6356793.vasp,1.616
8314799.vasp,2.307
8220187.vasp,2.307
8708137.vasp,0.916
9663069.vasp,4.562
7828672.vasp,4.785
8878918.vasp,7.484
8220203.vasp,7.146
8258555.vasp,3.275
5452096.vasp,8.84
6300480.vasp,4.477
8215884.vasp,5.578
8217522.vasp,7.944
8257992.vasp,3.528
5451161.vasp,8.6
5451241.vasp,1.465
8271790.vasp,1.401
6356679.vasp,1.737
8217513.vasp,2.282
5619239.vasp,1.715
8271793.vasp,1.223
4046123.vasp,3.014
5451186.vasp,1.567
8215887.vasp,4.351
8216150.vasp,5.177
8291142.vasp,7.723
7739362.vasp,7.486
8241637.vasp,3.199
8204501.vasp,0.888
9174122.vasp,3.118
9174351.vasp,3.869
9175375.vasp,6.595
6298122.vasp,4.965
6298152.vasp,4.94
6201291.vasp,4.925
8708174.vasp,4.258
8217723.vasp,5.147
8314802.vasp,7.618
8220206.vasp,7.617
8242856.vasp,3.39
9174348.vasp,2.293
9241189.vasp,2.897
9174045.vasp,2.162
6348578.vasp,1.148
5459919.vasp,1.398
5451166.vasp,2.069
8306839.vasp,0.682
6315774.vasp,2.655
6912432.vasp,3.202
5459879.vasp,3.107
6297773.vasp,4.343
6207124.vasp,4.339
6837763.vasp,4.282
7842344.vasp,4.307
8242696.vasp,1.985
5439816.vasp,3.359
5459914.vasp,4.185
8314808.vasp,7.034
2014161.vasp,7.034
6359987.vasp,2.886
6311646.vasp,2.467
7733908.vasp,4.478
1892010.vasp,5.307
8277110.vasp,7.723
7760970.vasp,7.643
8727064.vasp,3.292
5441191.vasp,3.553
5451196.vasp,7.997
7774042.vasp,4.505
183002.vasp,5.304
7731136.vasp,7.718
8204250.vasp,3.334
5440906.vasp,1.051
5451201.vasp,5.335
8227474.vasp,1.003
5440901.vasp,1.903
180109.vasp,4.016
7761678.vasp,4.507
8217717.vasp,5.559
7731142.vasp,7.721
8242853.vasp,3.575
180135.vasp,4.996
5439806.vasp,1.144
8217743.vasp,2.045
6442560.vasp,1.501
180606.vasp,4.311
180608.vasp,5.219
6262704.vasp,7.924
6852176.vasp,7.677
9662276.vasp,7.907
6359892.vasp,2.885
8708380.vasp,3.361
8277122.vasp,8.177
5451131.vasp,7.297
8280813.vasp,3.749
8258504.vasp,3.21
8282072.vasp,3.179
8305503.vasp,3.671
8281362.vasp,4.171
8282077.vasp,4.192
8278527.vasp,0.729
6409677.vasp,0.726
6448330.vasp,1.041
8280816.vasp,3.931
8259814.vasp,3.243
8282080.vasp,3.225
8708192.vasp,3.686
8281365.vasp,4.014
8229313.vasp,4.367
7841908.vasp,4.796
4046272.vasp,7.459
7746812.vasp,3.007
6429688.vasp,3.071
8714860.vasp,3.615
8229213.vasp,4.671
8229221.vasp,3.648
7829762.vasp,4.213
180051.vasp,4.872
5451721.vasp,7.321
7988034.vasp,5.653
8227914.vasp,5.021
7765278.vasp,6.216
6442968.vasp,1.233
8285038.vasp,1.894
7754740.vasp,1.852
7734950.vasp,1.778
7778338.vasp,1.803
7777304.vasp,2.334
7736384.vasp,2.245
8281368.vasp,5.136
8291013.vasp,6.774
8722744.vasp,5.258
7735092.vasp,6.693
6374407.vasp,0.725
8714523.vasp,0.842
7833436.vasp,1.602
6429799.vasp,2.167
8280761.vasp,3.622
7832570.vasp,6.934
8281371.vasp,5.105
7771066.vasp,6.502
6429803.vasp,3.352
8714048.vasp,5.258
7787686.vasp,6.775
6350705.vasp,2.632
6404361.vasp,3.848
8293911.vasp,5.91
7833920.vasp,5.934
8280765.vasp,2.071
8262614.vasp,2.643
9215175.vasp,0.618
8707870.vasp,5.203
8283992.vasp,7.016
5451731.vasp,7.825
6374616.vasp,1.438
8878546.vasp,1.886
9215348.vasp,2.276
4046154.vasp,3.163
5451841.vasp,1.323
8281374.vasp,5.107
8282083.vasp,6.312
9175073.vasp,6.155
8281377.vasp,5.226
8282086.vasp,6.258
4794708.vasp,6.071
9174217.vasp,5.306
9174046.vasp,6.059
6313715.vasp,1.843
7772696.vasp,2.327
8280775.vasp,1.459
9136822.vasp,1.728
6429836.vasp,2.928
6404088.vasp,3.512
5451796.vasp,4.005
5620287.vasp,3.491
6404311.vasp,4.302
8289281.vasp,7.538
8277217.vasp,7.487
9662757.vasp,7.205
6305369.vasp,2.443
8282733.vasp,4.441
8217022.vasp,5.131
8229229.vasp,6.385
8282736.vasp,3.572
8281380.vasp,4.394
8216123.vasp,5.247
8281383.vasp,6.748
8281386.vasp,3.545
5451746.vasp,3.024
6409524.vasp,5.882
6429832.vasp,1.674
6404173.vasp,2.639
7978336.vasp,4.151
5451781.vasp,4.12
8281389.vasp,5.28
7761882.vasp,6.976
8229232.vasp,6.814
8725616.vasp,1.688
7762660.vasp,2.414
6449181.vasp,1.972
6374478.vasp,4.424
6404140.vasp,5.135
8216692.vasp,6.893
9662182.vasp,6.743
6455971.vasp,2.825
8229235.vasp,7.146
6316282.vasp,3.41
6374780.vasp,0.94
5620219.vasp,2.908
5440881.vasp,3.372
5451051.vasp,3.894
6305085.vasp,2.249
5621275.vasp,1.629
5439836.vasp,1.683
6305303.vasp,1.225
5442426.vasp,0.839
6315302.vasp,0.621
6315575.vasp,2.07
6403529.vasp,2.089
6795285.vasp,2.32
5450866.vasp,2.829
5442431.vasp,1.669
5620359.vasp,2.688
6405039.vasp,3.095
5452441.vasp,4.045
5621351.vasp,2.251
6315228.vasp,2.457
6356725.vasp,2.669
8247196.vasp,3.79
6409810.vasp,3.748
5442416.vasp,2.263
6247064.vasp,1.051
5620247.vasp,0.634
5439851.vasp,3.108
6404736.vasp,3.694
8289284.vasp,5.257
8277233.vasp,5.039
5452021.vasp,5.076
5621243.vasp,2.652
8713501.vasp,3.833
8713518.vasp,2.914
8217012.vasp,3.27
8282089.vasp,3.227
8713566.vasp,2.561
8282739.vasp,3.595
8217025.vasp,4.297
8229628.vasp,4.488
8713567.vasp,3.24
8278555.vasp,1.044
6443672.vasp,1.036
8214941.vasp,0.74
5460419.vasp,0.744
8278567.vasp,1.657
5460374.vasp,1.55
6449598.vasp,1.801
6412771.vasp,3.207
5451416.vasp,2.087
5460014.vasp,5.821
5621155.vasp,4.136
6455754.vasp,3.114
5451401.vasp,2.725
5451396.vasp,0.601
5451431.vasp,1.657
6374664.vasp,1.197
8227879.vasp,3.775
8709280.vasp,3.04
8216111.vasp,3.395
8259004.vasp,3.501
8709359.vasp,2.583
8281392.vasp,3.691
8708156.vasp,4.263
8229300.vasp,4.515
8281395.vasp,3.133
7981520.vasp,1.462
5451086.vasp,1.817
6403630.vasp,0.694
6315678.vasp,1.858
8239884.vasp,0.518
6316854.vasp,0.616
8699755.vasp,0.723
6316380.vasp,1.969
8714465.vasp,2.37
8277236.vasp,0.708
8217383.vasp,1.052
6874439.vasp,0.582
6281364.vasp,0.585
5451981.vasp,0.625
5439916.vasp,1.233
6404784.vasp,1.647
6449233.vasp,2.306
8714012.vasp,1.76
7841940.vasp,2.079
9665634.vasp,2.613
8714013.vasp,1.409
5439901.vasp,0.86
6357999.vasp,0.941
6374271.vasp,1.453
6404780.vasp,1.569
5452011.vasp,3.358
180045.vasp,1.873
6377519.vasp,1.644
6442769.vasp,2.498
7826900.vasp,4.612
6455952.vasp,1.858
4046068.vasp,1.753
5440941.vasp,2.436
4793457.vasp,3.913
6374275.vasp,1.452
6442755.vasp,1.67
5452046.vasp,2.353
6429863.vasp,1.684
8217492.vasp,1.691
5451961.vasp,2.264
6355330.vasp,1.347
6313722.vasp,1.462
5451956.vasp,2.112
6306098.vasp,1.126
5452001.vasp,1.636
6374211.vasp,1.232
6357065.vasp,1.543
6409565.vasp,1.933
5439876.vasp,0.998
5452036.vasp,2.989
1229235.vasp,1.986
8258507.vasp,3.471
8259007.vasp,3.53
8305512.vasp,3.792
8281398.vasp,4.418
8229594.vasp,4.725
6409679.vasp,2.037
8255869.vasp,0.724
5620111.vasp,1.249
5450686.vasp,1.13
8278585.vasp,0.832
6443246.vasp,0.834
8255878.vasp,0.751
6443179.vasp,0.749
6348621.vasp,3.398
6356794.vasp,3.942
8228540.vasp,3.499
8708273.vasp,2.693
6430192.vasp,1.787
6442393.vasp,2.704
6351015.vasp,3.392
6405005.vasp,3.746
6348614.vasp,3.016
8258513.vasp,3.371
8216675.vasp,3.445
5450681.vasp,3.479
6374277.vasp,3.724
6404879.vasp,4.267
8216695.vasp,4.541
5452041.vasp,4.791
8708358.vasp,3.188
8255884.vasp,3.887
9128578.vasp,5.487
8257869.vasp,1.084
8255901.vasp,3.74
8255904.vasp,1.774
8214910.vasp,2.515
8278592.vasp,3.518
8255910.vasp,5.358
8700610.vasp,1.18
9235556.vasp,4.32
8278595.vasp,4.245
8278598.vasp,1.073
8255919.vasp,3.546
8239986.vasp,1.156
8700076.vasp,1.176
8255922.vasp,3.822
6449302.vasp,1.921
8278608.vasp,0.973
5451001.vasp,3.42
5620351.vasp,1.634
5442476.vasp,1.226
7673870.vasp,0.503
7673968.vasp,0.504
7822132.vasp,0.5
8158902.vasp,2.373
8195910.vasp,2.411
8160540.vasp,2.474
5187543.vasp,3.236
9970406.vasp,0.823
7822104.vasp,4.164
5186096.vasp,4.736
7821276.vasp,4.885
8225013.vasp,2.155
7907750.vasp,3.657
44528.vasp,4.077
7674428.vasp,4.662
44172.vasp,4.607
5186793.vasp,5.533
5183182.vasp,5.532
8537813.vasp,7.701
8538355.vasp,7.839
7822720.vasp,7.649
8313570.vasp,7.78
1890713.vasp,7.598
4425729.vasp,3.206
1901916.vasp,3.202
9064415.vasp,3.83
7819368.vasp,3.826
8201078.vasp,0.92
7673180.vasp,1.922
8279007.vasp,4.294
8532256.vasp,3.629
8251905.vasp,3.761
8311228.vasp,3.641
8313573.vasp,3.636
7673490.vasp,3.587
1891299.vasp,3.5
8279010.vasp,2.163
8533180.vasp,0.713
1928236.vasp,4.748
8245294.vasp,4.569
7823352.vasp,4.503
5269709.vasp,5.556
155292.vasp,5.332
45001.vasp,5.284
8532138.vasp,6.848
5267433.vasp,6.987
1891281.vasp,6.935
8224996.vasp,2.54
8201381.vasp,3.772
8231279.vasp,1.052
45087.vasp,0.933
8534382.vasp,1.181
9132714.vasp,1.183
8201122.vasp,1.282
8208555.vasp,0.805
8204964.vasp,1.035
8200777.vasp,0.733
9970720.vasp,2.658
8587407.vasp,2.714
8255946.vasp,0.516
4780708.vasp,0.935
8214913.vasp,0.936
8279019.vasp,2.31
8223895.vasp,0.854
8266038.vasp,0.853
8311243.vasp,0.808
8278620.vasp,0.807
8313588.vasp,0.806
8391709.vasp,0.922
42747.vasp,0.801
5188335.vasp,2.808
180227.vasp,2.777
9836170.vasp,1.332
5440846.vasp,1.481
9971012.vasp,2.752
8293962.vasp,2.325
8276990.vasp,2.449
6126802.vasp,2.473
6219701.vasp,6.323
6313531.vasp,1.934
6219702.vasp,6.314
8531907.vasp,2.677
8231282.vasp,2.675
8211130.vasp,2.742
8533097.vasp,4.161
8212287.vasp,4.129
8251934.vasp,7.635
8311246.vasp,7.608
8313591.vasp,7.554
1891310.vasp,7.429
8224705.vasp,2.167
8531712.vasp,1.623
8231088.vasp,1.622
8222076.vasp,1.281
8531892.vasp,1.142
8231242.vasp,1.159
8384956.vasp,1.2
8210956.vasp,1.081
8533161.vasp,1.268
8275588.vasp,1.395
8211540.vasp,1.447
8279025.vasp,1.792
8311250.vasp,1.738
8875671.vasp,1.691
8468732.vasp,1.824
7816964.vasp,1.775
7674640.vasp,1.85
8432651.vasp,0.513
8218833.vasp,0.724
1951709.vasp,1.792
8313594.vasp,0.524
8667423.vasp,0.549
2602732.vasp,1.131
2004871.vasp,3.798
1949788.vasp,3.837
2601523.vasp,3.807
968772.vasp,3.815
9405957.vasp,1.026
9406631.vasp,0.67
9701757.vasp,2.238
45281.vasp,1.853
8218907.vasp,2.138
9131570.vasp,1.762
43586.vasp,1.751
9694741.vasp,2.564
45178.vasp,2.169
8245285.vasp,2.459
8366012.vasp,2.244
43558.vasp,2.277
8531910.vasp,3.058
8877646.vasp,2.906
43384.vasp,2.714
42769.vasp,1.532
7835692.vasp,6.763
6126766.vasp,2.464
8715096.vasp,3.842
7835576.vasp,3.93
7844636.vasp,4.113
8715116.vasp,1.849
8229261.vasp,2.508
6218561.vasp,1.888
6218484.vasp,5.574
7840552.vasp,5.949
6218669.vasp,5.448
4793572.vasp,5.06
8725024.vasp,1.72
5449821.vasp,1.597
5458538.vasp,1.875
6218606.vasp,2.353
6314560.vasp,3.46
8305192.vasp,4.312
8534358.vasp,7.345
8872333.vasp,6.621
8227699.vasp,6.199
8306617.vasp,4.778
8305784.vasp,4.615
6410128.vasp,3.708
8725081.vasp,1.726
6218939.vasp,1.13
8229634.vasp,1.94
9953668.vasp,6.103
6235374.vasp,2.708
9700335.vasp,1.073
6218135.vasp,4.564
8256132.vasp,2.257
8204976.vasp,1.03
7918420.vasp,0.716
43867.vasp,0.721
7919074.vasp,1.008
7918414.vasp,1.026
182071.vasp,1.035
7917938.vasp,1.025
8313603.vasp,1.246
8331975.vasp,3.074
5450801.vasp,1.284
9427656.vasp,1.494
8256135.vasp,1.732
1928701.vasp,0.716
180381.vasp,0.714
7918426.vasp,0.611
44780.vasp,0.509
7821830.vasp,4.383
7673902.vasp,4.382
4425385.vasp,5.261
7674588.vasp,5.254
9699688.vasp,6.826
7676076.vasp,6.805
1891287.vasp,6.806
8213342.vasp,2.932
9064417.vasp,3.731
8222253.vasp,3.791
1949798.vasp,2.565
6218137.vasp,1.675
6218469.vasp,4.782
6218161.vasp,1.976
8158826.vasp,2.076
9979600.vasp,2.129
9661337.vasp,1.826
2066884.vasp,2.721
1950612.vasp,2.826
2601715.vasp,2.632
1923246.vasp,2.652
9132706.vasp,0.613
8208074.vasp,4.56
8205015.vasp,4.575
44164.vasp,4.588
8208077.vasp,5.517
8255962.vasp,5.485
44515.vasp,5.582
8313615.vasp,7.854
8468735.vasp,7.557
1891293.vasp,7.726
8225010.vasp,2.982
1927368.vasp,4.03
8201371.vasp,3.792
8251956.vasp,4.288
8311267.vasp,4.181
8313618.vasp,4.031
8212335.vasp,4.092
7918600.vasp,1.023
8411318.vasp,1.53
8534875.vasp,3.303
8538528.vasp,1.19
8434883.vasp,2.014
8308715.vasp,2.038
8996210.vasp,0.901
8534577.vasp,1.841
8535416.vasp,2.935
2013107.vasp,6.026
8226756.vasp,4.584
8232261.vasp,3.957
2602381.vasp,5.418
7764022.vasp,2.046
8531482.vasp,3.012
2013133.vasp,1.438
2602342.vasp,1.322
2067461.vasp,2.524
8303268.vasp,2.266
2602488.vasp,2.496
8536797.vasp,4.714
1927083.vasp,1.181
8303613.vasp,0.939
2602169.vasp,0.939
9696932.vasp,4.086
8437613.vasp,2.943
8432731.vasp,4.872
8535467.vasp,2.071
1927885.vasp,0.528
145756.vasp,0.546
7757420.vasp,0.931
8435469.vasp,2.392
8542107.vasp,2.931
8217794.vasp,2.552
2069809.vasp,4.69
8303655.vasp,3.783
1928603.vasp,2.074
8432825.vasp,2.067
8869452.vasp,2.243
8227532.vasp,2.654
8533361.vasp,4.879
2068069.vasp,1.112
8303664.vasp,0.965
2602297.vasp,0.674
8994869.vasp,3.267
8997851.vasp,1.386
8534776.vasp,1.957
8996383.vasp,0.796
8534580.vasp,1.837
8535419.vasp,3.103
2004518.vasp,6.221
8227030.vasp,4.669
8436419.vasp,3.941
2602254.vasp,5.535
8284401.vasp,2.783
8531454.vasp,2.936
8532103.vasp,2.939
2067113.vasp,1.392
2067848.vasp,2.462
8279120.vasp,2.209
2602584.vasp,2.411
2067905.vasp,1.224
8303686.vasp,1.109
2067655.vasp,4.076
8432998.vasp,3.021
8533364.vasp,4.945
8535470.vasp,2.027
8287905.vasp,2.298
8216420.vasp,2.6
2619759.vasp,2.83
2612861.vasp,2.114
7757962.vasp,1.102
8435472.vasp,2.503
8542114.vasp,2.867
8217812.vasp,2.54
8990146.vasp,4.734
1928585.vasp,1.88
8432828.vasp,2.085
8310493.vasp,3.132
8227535.vasp,2.665
8307785.vasp,2.741
8536779.vasp,0.893
2069322.vasp,1.138
8279152.vasp,0.9
8245983.vasp,3.205
8274492.vasp,2.863
8241924.vasp,3.034
9116371.vasp,2.839
8271726.vasp,2.708
8231681.vasp,2.439
8289082.vasp,3.187
8435415.vasp,3.2
8246875.vasp,1.117
